karakter,soru,cevap
Frodo Baggins,Frodo'nun temel görevi nedir?,Tek Yüzük'ü Mordor'a götürmek
Frodo Baggins,Frodo'nun en yakın arkadaşı kimdir?,Sam
Frodo Baggins,Frodo hangi silahları kullanır?,Sting kılıcı ve Mithril zırhı
Frodo Baggins,Frodo kaç yaşındadır?,50
Frodo Baggins,Frodo nerede yaşar?,Shire'da

Gandalf,Gandalf hangi isimlerle bilinir?,Gri Gandalf ve Beyaz Gandalf
Gandalf,Gandalf'ın yaşı nedir?,2000+
Gandalf,Gandalf'ın kullandığı silahlar nelerdir?,Glamdring kılıcı Narya yüzüğü ve Büyücü asası
Gandalf,Gandalf'ın ünlü sözü nedir?,Bir büyücü asla geç kalmaz tam zamanında gelir
Gandalf,Gandalf'ın Frodo ile ilişkisi nedir?,Frodo'nun akıl hocası

Aragorn,Aragorn'un gerçek adı nedir?,Elessar
Aragorn,Aragorn kaç yaşındadır?,87
Aragorn,Aragorn'un kılıcının adı nedir?,Andúril
Aragorn,Aragorn'un sevgilisi kimdir?,Arwen
Aragorn,Aragorn hangi unvanla tahta çıkar?,Gondor Kralı

Legolas,Legolas hangi krallığın prensidir?,Kuyutorman Krallığı
Legolas,Legolas'ın babası kimdir?,Thranduil
Legolas,Legolas'ın en yakın dostu kimdir?,Gimli
Legolas,Legolas hangi silahları kullanır?,Elf yayı ve okları çift hançer
Legolas,Legolas kaç yaşındadır?,2931

Gimli,Gimli'nin babası kimdir?,Glóin
Gimli,Gimli hangi silah kullanır?,Cüce baltası
Gimli,Gimli kaç yaşındadır?,139
Gimli,Gimli kime hayrandır?,Galadriel
Gimli,Gimli nereden gelir?,Erebor

Samwise Gamgee,Sam'in mesleği nedir?,Bahçıvan
Sam,Sam'in Frodo'ya olan bağlılığını gösteren sözü nedir?,Sizinle sonuna kadar geleceğim Bay Frodo
Sam,Sam kaç yaşındadır?,38
Sam,Sam hangi silahları kullanır?,Kısa kılıç ve Elf ipi
Sam,Sam kiminle evlenir?,Rosie

Galadriel,Galadriel'in yüzüğünün adı nedir?,Nenya
Galadriel,Galadriel nerede yaşar?,Lothlórien
Galadriel,Galadriel kaç yaşındadır?,7000+
Galadriel,Galadriel'in eşi kimdir?,Celeborn
Galadriel,Galadriel'in torunu kimdir?,Arwen

Saruman,Saruman başlangıçta ne idi?,İstar'ların lideri
Saruman,Saruman nerede yaşar?,Orthanc
Saruman,Saruman kimin tarafına geçer?,Sauron
Saruman,Saruman'ın Gandalf ile ilişkisi nedir?,Gandalf'ın eski müttefiki ve sonradan düşmanı
Saruman,Saruman'ın kullandığı silah nedir?,Büyücü asası

Arwen,Arwen'in babası kimdir?,Elrond
Arwen,Arwen kimin için ölümlü yaşamı seçer?,Aragorn
Arwen,Arwen'in kılıcının adı nedir?,Hadhafang
Arwen,Arwen kaç yaşındadır?,2901
Arwen,Arwen hangi unvanı alır?,Gondor Kraliçesi

Boromir,Boromir'in babası kimdir?,Denethor
Boromir,Boromir kaç yaşında ölür?,41
Boromir,Boromir hangi şehirdendir?,Gondor
Boromir,Boromir'in kardeşi kimdir?,Faramir
Boromir,Boromir nasıl ölür?,Yüzük'ün gücüne yenik düşer ve orklar tarafından öldürülür

